date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:18:03	6203/6203	---M--	200	added ('OK')	image/jpeg	etag:%22ccbce04b7f8cce1:2b6e%22	http://www.w3school.com.cn/i/site_photoref.jpg	C:/My%20Websites/W3CN/www.w3school.com.cn/i/site_photoref.jpg	(from http://www.w3school.com.cn/)
02:18:04	4639/4639	---M--	200	added ('OK')	image/jpeg	etag:%22dcf99d4b7f8cce1:2b6e%22	http://www.w3school.com.cn/i/site_photoexa.jpg	C:/My%20Websites/W3CN/www.w3school.com.cn/i/site_photoexa.jpg	(from http://www.w3school.com.cn/)
02:18:04	4938/4938	---M--	200	added ('OK')	image/jpeg	etag:%22606fb34b7f8cce1:2b6e%22	http://www.w3school.com.cn/i/site_photoqe.jpg	C:/My%20Websites/W3CN/www.w3school.com.cn/i/site_photoqe.jpg	(from http://www.w3school.com.cn/)
02:18:10	42961/42961	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:12%20GMT	http://www.w3school.com.cn/cssref/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/cssref/index.html	(from http://www.w3school.com.cn/)
02:18:10	30307/30307	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:13%20GMT	http://www.w3school.com.cn/tags/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/tags/index.html	(from http://www.w3school.com.cn/)
02:18:11	8453/8453	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:11%20GMT	http://www.w3school.com.cn/web/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/web/index.html	(from http://www.w3school.com.cn/)
02:18:11	23682/23682	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:12%20GMT	http://www.w3school.com.cn/php/php_ref_string.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/php/php_ref_string.html	(from http://www.w3school.com.cn/)
02:18:12	49970/49970	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:14%20GMT	http://www.w3school.com.cn/tags/html_ref_colornames.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/tags/html_ref_colornames.html	(from http://www.w3school.com.cn/)
02:18:12	18473/18473	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:16%20GMT	http://www.w3school.com.cn/jsref/index.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/jsref/index.html	(from http://www.w3school.com.cn/)
02:18:14	9875/9875	---M--	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202015%2018:18:16%20GMT	http://www.w3school.com.cn/jquery/jquery_reference.asp	C:/My%20Websites/W3CN/www.w3school.com.cn/jquery/jquery_reference.html	(from http://www.w3school.com.cn/)
